"series.name","auto.correl.model","threshold.point","series.size"
"Berlin_a","ACF",3821,9234
"Berlin_a","PACF",2075,9233
"Berlin_b","ACF",4247,5983
"Berlin_b","PACF",3292,5982
"Berlin_c","ACF",5158,6053
"Berlin_c","PACF",3952,6052
"Frankfurt_a","ACF",3660,5337
"Frankfurt_a","PACF",3124,5336
"Frankfurt_b","ACF",4246,5781
"Frankfurt_b","PACF",3060,5780
"Frankfurt_c","ACF",2232,3153
"Frankfurt_c","PACF",2375,3152
"Leipzig_a","ACF",3264,4585
"Leipzig_a","PACF",2398,4584
"Leipzig_b","ACF",2928,8020
"Leipzig_b","PACF",3523,8019
"Leipzig_c","ACF",3389,10157
"Leipzig_c","PACF",6099,10156
"Potsdam_a","ACF",823,1114
"Potsdam_a","PACF",1090,1113
"Potsdam_b","ACF",3905,6407
"Potsdam_b","PACF",2836,6406
"Potsdam_c","ACF",9505,12243
"Potsdam_c","PACF",2707,12242
"Potsdam..high.density._a","ACF",2300,2767
"Potsdam..high.density._a","PACF",1947,2766
"Potsdam..high.density._b","ACF",1437,1635
"Potsdam..high.density._b","PACF",1423,1634
"Potsdam..high.density._c","ACF",847,963
"Potsdam..high.density._c","PACF",889,962
"Potsdam..subset._a","ACF",609,25000
"Potsdam..subset._a","PACF",47,24999
"Potsdam..subset._b","ACF",12,25000
"Potsdam..subset._b","PACF",12,24999
"Potsdam..subset._c","ACF",1023,25000
"Potsdam..subset._c","PACF",48,24999
