"series.name","auto.correl.model","threshold.point","series.size"
"Berlin_a","PACF",2075,9233
"Berlin_b","PACF",3292,5982
"Berlin_c","PACF",3952,6052
"Frankfurt_a","PACF",3124,5336
"Frankfurt_b","PACF",3060,5780
"Frankfurt_c","PACF",2375,3152
"Leipzig_a","PACF",2398,4584
"Leipzig_b","PACF",3523,8019
"Leipzig_c","PACF",6099,10156
"Potsdam_a","PACF",1090,1113
"Potsdam_b","PACF",2836,6406
"Potsdam_c","PACF",2707,12242
"Potsdam..high.density._a","PACF",1947,2766
"Potsdam..high.density._b","PACF",1423,1634
"Potsdam..high.density._c","PACF",889,962
"Potsdam..subset._a","PACF",47,24999
"Potsdam..subset._b","PACF",12,24999
"Potsdam..subset._c","PACF",48,24999
